Time 	  T Cryostat 	 T Sample
1474492482.12	4.237	4.249
1474492512.35	4.236	4.249
1474492542.69	4.236	4.25
1474492572.94	4.237	4.249
1474492603.25	4.237	4.248
1474492633.5	4.237	4.25
1474492663.86	4.237	4.249
1474492694.17	4.236	4.25
1474492724.4	4.236	4.249
1474492754.69	4.236	4.248
1474492785.06	4.236	4.249
1474492815.35	4.237	4.249
1474492845.6	4.237	4.249
1474492875.88	4.238	4.249
1474492906.19	4.237	4.249
1474492936.62	4.237	4.249
1474492966.95	4.237	4.249
1474492997.38	4.237	4.249
1474493027.81	4.237	4.249
1474493058.13	4.239	4.25
1474493088.51	4.238	4.249
1474493118.71	4.236	4.25
1474493149.1	4.237	4.249
1474493179.34	4.238	4.25
1474493209.6	4.238	4.25
1474493239.85	4.237	4.25
1474493270.13	4.237	4.249
1474493300.37	4.237	4.249
1474493330.64	4.238	4.25
1474493360.88	4.238	4.249
1474493391.11	4.237	4.25
1474493421.39	4.237	4.249
1474493451.7	4.237	4.249
1474493481.96	4.237	4.249
1474493512.38	4.238	4.251
1474493542.7	4.237	4.249
1474493573.07	4.236	4.249
1474493603.32	4.236	4.249
1474493633.6	4.236	4.25
1474493663.89	4.237	4.25
1474493694.12	4.237	4.249
1474493724.37	4.237	4.249
1474493754.64	4.238	4.25
1474493785.9	4.237	4.248
1474493816.22	4.238	4.25
1474493846.65	4.237	4.248
1474493877.12	4.238	4.25
1474493907.4	4.236	4.249
1474493937.72	4.237	4.25
1474493968.15	4.237	4.249
1474493998.46	4.237	4.249
1474494028.72	4.236	4.249
1474494059.03	4.238	4.25
1474494089.23	4.238	4.25
1474494119.47	4.236	4.249
1474494149.72	4.237	4.25
1474494180.09	4.238	4.249
1474494210.41	4.237	4.249
1474494240.9	4.237	4.249
1474494271.21	4.238	4.248
1474494301.62	4.237	4.249
1474494331.91	4.237	4.249
1474494362.23	4.236	4.249
1474494392.64	4.236	4.249
1474494422.88	4.237	4.249
1474494453.17	4.237	4.249
1474494483.45	4.237	4.249
1474494513.88	4.236	4.248
1474494544.13	4.237	4.249
1474494574.38	4.237	4.249
1474494604.63	4.236	4.248
1474494634.86	4.237	4.249
1474494665.14	4.238	4.248
1474494695.42	4.238	4.249
1474494725.7	4.237	4.249
1474494756.1	4.238	4.249
1474494786.31	4.237	4.249
1474494816.54	4.237	4.249
1474494846.75	4.238	4.248
1474494877.0	4.237	4.249
1474494907.25	4.237	4.249
1474494937.46	4.236	4.249
1474494967.74	4.236	4.249
1474494998.06	4.237	4.249
1474495028.42	4.237	4.249
1474495058.92	4.237	4.248
1474495089.39	4.237	4.249
1474495119.68	4.237	4.25
1474495150.0	4.238	4.249
1474495180.25	4.236	4.25
1474495210.68	4.237	4.249
1474495240.91	4.237	4.249
1474495272.18	4.236	4.248
1474495302.42	4.238	4.248
1474495332.66	4.238	4.249
1474495362.9	4.237	4.249
1474495393.13	4.236	4.249
1474495423.38	4.236	4.25
1474495453.69	4.235	4.249
1474495483.97	4.237	4.249
1474495514.44	4.236	4.249
1474495544.73	4.237	4.249
1474495575.01	4.237	4.249
1474495605.23	4.236	4.249
1474495635.63	4.238	4.249
1474495665.95	4.237	4.249
1474495696.19	4.236	4.249
1474495726.63	4.236	4.249
1474495756.94	4.237	4.249
1474495787.44	4.236	4.249
1474495817.68	4.236	4.249
1474495848.92	4.237	4.249
1474495879.16	4.237	4.248
1474495909.38	4.236	4.249
1474495939.67	4.235	4.249
1474495969.92	4.236	4.249
1474496000.18	4.236	4.249
1474496030.46	4.236	4.248
1474496060.92	4.236	4.249
1474496091.18	4.236	4.249
1474496121.43	4.236	4.249
1474496151.64	4.237	4.249
1474496181.84	4.235	4.248
1474496212.14	4.236	4.249
1474496242.43	4.235	4.249
1474496272.68	4.236	4.249
1474496302.92	4.237	4.248
1474496333.18	4.236	4.248
1474496363.42	4.236	4.249
1474496393.68	4.236	4.249
1474496423.9	4.236	4.249
1474496454.18	4.236	4.248
1474496484.47	4.235	4.25
1474496514.75	4.235	4.249
1474496545.22	4.235	4.249
1474496575.53	4.235	4.249
1474496605.79	4.237	4.248
1474496636.04	4.236	4.248
1474496666.25	4.238	4.248
1474496696.68	4.236	4.248
1474496726.94	4.237	4.249
1474496757.19	4.236	4.249
1474496787.44	4.237	4.248
1474496817.68	4.236	4.249
1474496847.97	4.236	4.249
1474496878.25	4.236	4.248
1474496908.66	4.236	4.248
1474496938.98	4.236	4.249
1474496969.27	4.236	4.249
1474496999.55	4.236	4.249
1474497029.8	4.235	4.248
1474497060.23	4.236	4.249
1474497090.51	4.235	4.249
1474497120.97	4.235	4.249
1474497151.2	4.236	4.249
1474497181.48	4.237	4.248
1474497211.79	4.235	4.25
1474497242.04	4.236	4.248
1474497272.44	4.236	4.249
1474497302.73	4.236	4.249
1474497333.02	4.236	4.249
1474497363.33	4.236	4.249
1474497393.57	4.237	4.248
1474497423.82	4.237	4.248
1474497454.07	4.237	4.249
1474497484.32	4.236	4.249
1474497514.57	4.236	4.249
1474497544.78	4.236	4.248
1474497575.06	4.236	4.249
1474497605.31	4.235	4.249
1474497635.74	4.235	4.249
1474497665.98	4.236	4.248
1474497696.21	4.236	4.249
1474497726.46	4.236	4.249
1474497756.74	4.236	4.249
1474497787.05	4.235	4.248
1474497817.32	4.236	4.249
1474497847.75	4.237	4.249
1474497877.99	4.237	4.249
1474497908.19	4.237	4.249
1474497938.51	4.236	4.25
1474497968.79	4.236	4.249
1474497999.26	4.236	4.25
1474498029.49	4.235	4.249
1474498059.76	4.236	4.248
1474498090.05	4.237	4.249
1474498120.33	4.235	4.249
1474498150.54	4.235	4.25
1474498180.82	4.236	4.249
1474498211.19	4.236	4.248
1474498241.5	4.236	4.248
1474498271.82	4.234	4.25
1474498302.08	4.236	4.248
1474498332.34	4.236	4.249
1474498362.59	4.234	4.248
1474498392.83	4.236	4.249
1474498423.09	4.236	4.248
1474498453.48	4.235	4.25
1474498483.74	4.237	4.248
1474498513.99	4.237	4.247
1474498544.27	4.236	4.249
1474498574.55	4.235	4.249
1474498604.84	4.237	4.248
1474498635.08	4.236	4.248
1474498665.52	4.236	4.249
1474498695.8	4.235	4.249
1474498726.05	4.238	4.249
1474498756.31	4.236	4.25
1474498786.6	4.237	4.249
1474498817.02	4.237	4.248
