112728 2.00008
34593.3 3.10067
16544.4 4.05042
12396.2 5.06353
9586 6.40004
7670.35 7.75253
6771.88 8.65874
5931.83 9.71815
5191.99 10.9297
4555.26 12.1546
3607.85 15.8068
3023.43 19.1425
2904.45 20.0752
2539.61 22.2139
2393.42 24.1686
2208.03 26.0656
2051.24 28.2022
1903.8 30.2906
1654.31 35.515
1491.47 40.0004
1342.32 45.0146
1213.43 50.1347
1111.32 55.1629
1032.48 60.1388
959.211 65.121
896.485 70.3745
841.304 75.3125
793.234 80.339
753.758 85.0156
713.596 90.3907
680.238 95.2245
650.077 100.137
623.142 105.058
573.258 115.305
531.619 125.21
495.387 135.368
464.927 145.128
437.441 155.098
412.07 165.482
391.381 175.251
372.525 185.126
354.323 195.239
338.816 205.328
325.101 215.057
311.569 225.24
300.656 235.058
289.834 245.178
279.457 255.205
270.757 265.028
262.396 275.093
