717607 1.89833
725742 2.00295
168294 3.17132
65953.1 4.07464
41976.2 5.12765
28608.3 6.48821
24491 7.14891
17399.1 8.91554
14498.8 9.91386
10197.3 12.5654
8711.56 14.2977
7593.49 16.2345
6114.78 19.4443
5636.32 20.5532
4951.88 22.4588
4493.46 24.406
4172.03 26.2039
3854.73 28.1395
3470.92 30.5226
2964.25 35.1488
2569.49 40.0219
2250.1 45.0415
1987.13 50.1955
1786.6 55.0415
1615.43 60.132
1475.25 65.1545
1348.05 70.477
1247.21 75.4292
1166.76 80.0005
1082.85 85.1153
1017.8 90.0291
949.331 95.3706
896.434 100.259
850.077 105.201
763.057 115.395
692.175 125.356
632.919 135.461
582.287 145.219
539.404 155.149
501.749 165.116
466.978 175.364
438.655 185.203
412.373 195.364
389.975 205.018
369.11 215.106
350.771 225.036
334.275 235.131
318.295 245.033
303.86 255.26
291.983 265.066
280.142 275.108
